Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,30.6,32.5,34.7,37.6,39.8,42.3,45.0,47.5,49.6,52.4,–,–,–,–,–,–,–,–,63.1,65.9,68.1,75.7,78.5,78.9,78.7,79.0,80.6,83.5,–
Belgium,35.6,37.7,39.1,–,44.9,47.9,53.4,55.5,–,–,57.1,58.2,58.9,59.4,59.8,61.0,61.1,61.7,61.2,62.1,65.3,67.8,69.8,71.2,72.1,73.0,74.6,–,–
Bulgaria,25.0,26.2,31.0,30.4,31.8,33.6,36.4,40.9,43.0,42.8,44.8,44.1,42.8,40.9,41.6,42.6,45.4,47.2,50.6,51.9,54.2,57.8,59.0,61.4,64.2,67.6,70.3,71.2,–
Croatia,–,21.4,22.4,21.9,24.4,26.1,26.2,27.8,27.7,29.4,31.7,32.4,35.1,37.9,40.8,42.1,44.8,45.6,47.2,49.2,48.8,54.0,57.2,60.4,65.3,67.6,67.0,67.5,–
Cyprus,7.9,9.0,10.1,9.3,14.1,15.0,17.0,19.2,20.9,–,21.0,19.6,21.6,25.1,32.0,35.9,33.2,33.4,36.2,42.6,52.0,48.3,46.5,45.9,47.5,53.1,60.1,–,–
Czech Republic,16.3,16.2,16.1,14.6,14.4,19.4,20.6,21.5,23.2,23.7,25.5,28.4,30.0,34.4,37.0,43.7,48.4,50.1,54.2,58.1,61.1,64.0,65.6,65.7,65.1,65.6,64.5,–,–
Denmark,31.9,34.1,36.5,38.6,42.7,44.7,45.5,47.8,–,52.5,55.8,57.2,60.0,63.5,67.5,74.4,80.4,79.0,78.6,75.7,74.3,73.6,76.8,79.1,80.9,81.0,82.1,81.1,–
Estonia,22.9,24.8,24.4,24.5,23.5,24.4,25.5,40.2,44.1,47.3,49.6,54.5,58.7,61.5,64.4,66.2,67.9,67.9,67.7,66.5,66.7,68.2,70.4,72.3,73.8,73.2,72.1,–,–
European Union,30.2,30.7,31.5,32.5,36.3,39.4,43.1,45.1,46.8,48.6,51.5,53.1,55.3,57.6,59.8,61.2,63.6,62.2,64.4,62.3,66.0,66.8,69.7,67.7,68.5,68.9,66.6,–,–
Finland,41.0,44.5,48.9,52.9,59.4,64.0,67.4,70.3,73.4,79.2,81.4,82.3,84.3,84.8,86.9,89.5,91.7,93.2,93.8,94.7,91.3,93.5,94.9,92.9,91.0,88.9,87.7,87.0,–
France,34.4,37.0,39.5,42.8,45.8,49.5,50.3,52.2,52.9,53.1,53.4,53.6,53.5,52.7,54.3,54.9,55.3,55.6,55.2,55.1,55.6,57.9,58.7,60.5,62.3,64.1,65.3,–,–
Germany,–,–,33.6,35.4,39.4,42.4,45.2,46.8,47.7,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,60.5,64.2,66.3,–,–
Greece,23.5,24.2,35.1,33.6,36.8,38.4,35.9,39.6,43.5,44.6,46.3,50.8,58.1,65.1,70.3,76.5,85.3,89.3,86.1,–,–,101.8,107.0,110.3,112.0,117.4,–,–,–
Hungary,14.8,14.7,14.5,14.9,16.1,19.3,22.2,24.6,26.2,30.1,32.5,35.9,39.7,44.6,52.2,60.1,65.0,67.5,68.3,66.5,64.6,63.7,62.6,61.5,57.1,52.0,49.0,48.0,–
Ireland,26.8,27.4,27.9,30.3,31.9,34.1,34.9,36.6,38.4,41.2,43.6,46.2,47.6,49.8,51.2,53.6,54.2,55.5,57.8,55.2,57.7,63.0,65.7,67.5,73.0,77.4,83.5,–,–
Italy,28.0,29.5,31.7,33.8,36.0,40.1,41.5,42.3,46.8,48.1,48.2,49.3,52.2,54.8,58.0,61.7,64.0,65.7,66.5,66.3,66.7,66.1,66.1,65.1,63.6,63.4,62.9,–,–
Latvia,24.7,25.5,25.6,25.8,24.3,22.4,22.8,26.9,33.3,42.8,50.8,56.7,63.3,67.3,71.4,75.3,75.9,75.0,73.9,73.0,72.6,66.9,64.2,63.3,65.5,66.4,68.2,–,–
Lithuania,32.4,33.3,32.1,28.7,26.3,25.9,26.3,28.5,32.5,38.7,44.4,51.3,57.6,62.8,70.0,75.4,80.1,81.2,82.2,85.0,88.5,85.8,80.8,77.2,71.9,68.5,66.9,66.0,–
Luxembourg,–,–,4.8,5.2,4.9,7.0,7.4,8.1,8.5,9.0,10.1,9.8,10.2,11.9,12.2,–,–,10.3,–,10.6,–,18.3,–,19.4,–,–,19.7,–,–
Malta,7.0,10.4,12.7,14.2,17.8,19.2,21.0,22.1,22.0,24.3,23.4,21.4,25.2,24.7,30.5,26.9,32.3,30.5,33.4,32.2,35.2,37.1,39.8,42.6,44.2,44.7,47.4,48.8,–
Netherlands,33.3,35.6,40.0,42.3,44.8,48.6,47.5,48.1,47.4,48.0,49.8,52.3,54.2,55.2,55.7,57.0,58.7,59.7,59.9,60.3,61.2,63.7,75.9,76.6,–,–,80.6,80.4,–
Poland,19.8,20.2,21.5,21.2,23.6,27.3,31.2,35.4,39.9,39.2,45.0,49.7,54.8,57.9,59.5,61.1,63.6,65.4,67.2,70.3,72.4,74.8,74.7,74.0,71.8,68.3,66.7,66.6,–
Portugal,–,19.9,23.3,23.5,30.1,33.3,36.2,38.6,–,43.5,44.7,47.6,50.4,52.6,54.5,55.3,55.1,55.1,57.4,61.2,62.3,65.2,68.0,68.1,65.8,65.2,61.4,62.9,–
Romania,8.5,8.4,9.6,10.8,12.1,13.0,13.4,17.7,18.6,18.9,21.4,24.0,28.8,32.6,37.6,41.4,45.4,51.6,57.9,66.1,69.6,65.3,59.5,50.7,47.6,47.5,46.8,48.0,–
Slovak Republic,–,–,–,–,15.8,16.9,18.6,20.1,21.8,24.2,25.9,28.4,30.1,32.1,33.9,36.0,40.4,44.8,50.2,53.8,56.1,57.1,56.3,56.1,54.4,52.7,–,–,–
Slovenia,20.7,22.8,22.4,26.1,27.1,29.4,30.4,33.5,36.8,45.9,52.4,55.2,60.4,66.3,69.0,72.4,79.3,82.6,84.6,85.5,86.4,89.1,86.0,86.9,85.2,82.1,80.1,–,–
Spain,33.7,35.5,37.0,39.2,41.1,44.0,45.7,47.6,50.5,52.8,54.9,57.6,59.7,61.5,63.9,66.0,67.1,68.5,69.5,71.2,73.5,78.5,83.2,85.3,86.9,88.9,89.5,91.2,–
Sweden,30.2,30.7,32.0,34.5,37.4,39.8,42.4,46.0,49.6,52.0,63.6,67.1,70.3,75.3,81.4,83.8,82.0,79.3,74.8,70.7,70.7,73.7,72.8,68.8,63.2,62.2,62.3,–,–
United Kingdom,24.4,26.5,29.2,33.2,38.0,42.8,48.2,50.1,53.3,55.5,60.1,58.5,59.3,62.6,62.1,59.4,59.0,59.1,58.6,56.8,58.1,59.2,59.4,59.8,57.6,57.3,57.3,–,–
Founding Fathers,32.8,34.9,31.5,31.9,35.9,39.3,40.9,42.2,40.6,39.5,43.7,44.6,45.8,46.8,48.0,58.6,59.8,50.6,60.7,50.9,62.2,54.7,67.6,58.5,64.6,66.2,61.5,80.4,
Central Europe,20.4,21.3,21.8,22.9,22.8,25.8,28.0,30.4,32.9,35.9,36.3,39.5,43.0,47.0,50.3,54.6,59.3,62.1,64.6,66.7,68.1,70.7,70.6,70.5,68.7,66.6,68.1,66.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A felnőtt lakosság hány százaléka iratkozik be felsőoktatásba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
