,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Austria,-,-,-,-,-,10.8,11,11.2,10.5,10.3,10.2,10.4,10.4,10.3,10.1,10.1,10,10.2,10,9.8,9.5,9.6,9.7,9.4,8.7,8.5,8.4,7
Belarus,-,5.8,5.1,5.7,5.3,5.5,5.7,5.8,5.6,6.2,5.9,6,6,6.4,6.2,5.9,5.9,5.8,5.7,6.1,5.6,5.4,5.7,5,3.5,3.4,2.9,-
Belgium,-,-,10.4,10.4,10.2,10.1,9.9,10.1,9.4,9,8.9,9,9.1,9.1,8.3,8.1,8,8.1,7.9,7.8,7.9,7.6,7.7,7.9,7.7,7.6,7.2,7.2
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.7,5.2,6.8,5.4,5.2,4.5
Croatia,-,-,6.9,7.5,7.8,7.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7.4,8.5,10.6,10.5,8.6
Cyprus,-,-,6.5,6.8,6.6,6.8,6.5,6.4,5.9,5.8,6.1,6,6.5,6.9,6.7,6,5.8,6,6,5.8,5.5,4.9,4.9,4.9,4.6,4.7,4.5,4.1
Czechia,-,-,-,-,-,7.5,7.4,8,6.8,6.5,6.7,6.9,6.9,7.1,6.8,6.4,6.3,6.3,6.4,6.4,6.4,6.7,6.5,6.4,4.8,4.7,4.4,-
Denmark,-,-,-,-,11,10.9,11.1,11.5,10.2,10,9.9,9.8,9.7,9.5,9.3,9.1,8.7,9,8.2,8.2,8.2,8.1,8.4,8.6,8.3,8.2,8.3,8.5
Estonia,-,6.5,6.2,6,5.8,5.8,6.3,6.5,6.1,5.2,5,5,5.1,4.9,4.8,4.9,5.3,5.9,-,-,-,-,-,-,-,-,-,-
Finland,-,-,-,-,9.1,9,9.5,9.2,8.3,8,8.3,8.4,8.2,8.2,7.8,7.4,7.2,7.4,7.4,7.7,8,7.8,7.7,8.2,9,8.8,7.7,7.2
France,-,-,-,-,-,11.6,11.7,11.7,11,10.9,11,11,11,10.8,10.6,10.2,10.1,10.2,10.1,10.3,10.4,10.4,9.3,9.3,8.9,8.6,8.4,-
Germany,-,-,-,-,-,11.3,11.5,11.8,10.7,10.5,10.6,10.8,10.7,10.9,10.7,10.5,10.4,10.4,10.3,10.3,10.4,10.1,9.8,9.6,9.6,-,8.3,8.3
Greece,-,-,8.3,8.8,8.9,9.5,9.8,9.8,10.1,9.8,9.7,9.7,8.8,9,9.2,8.9,8,8.7,8.4,8.5,8.6,8.7,8.7,8,7.1,6.5,6.7,6.6
Hungary,-,-,-,-,7.8,7.9,8,7.7,7.5,7.7,8.3,8.4,8.2,8.6,7.6,7.2,7.2,7.3,7.2,6.8,7.1,7.3,8.2,7.6,7.6,7.1,-,-
Ireland,-,-,-,-,-,8.9,9.3,10,9.1,7.9,7.5,7.6,7.5,7.3,7,6.7,6.1,6.1,6.1,6.3,6.5,6.6,6.9,6.8,6.9,6.4,6,6.2
Italy,-,-,9.1,9,9,9.2,9.4,9.4,8.9,8.5,8.8,8.7,8.5,8.2,8.2,8.1,7.9,7.6,7.5,7.4,7.2,7.1,7.4,7.6,7.7,7.9,7.7,7.3
Latvia,-,-,5.5,5.4,5.9,6.1,6.5,6.8,6.6,7,6.8,6.4,6.3,5,4.9,5,4.8,5.2,4.1,4.5,4.5,4.2,4.1,4.1,2.8,2.6,2.5,2.6
Lithuania,-,6.5,6.2,6.1,6.6,6.8,7,7.5,6.5,6.2,6.2,5.8,5.7,5.7,5.9,5.7,6,6,6.1,5.8,5.3,4.9,5.2,4.2,4.2,3.7,3.3,2.8
Luxembourg,-,-,-,-,-,-,-,8.2,7.2,7.1,7.7,7.9,8.2,7.7,8.3,7.4,7.5,5.8,5.7,5.6,5.7,5.6,5.3,5.5,5.4,5.1,5.4,5.2
Malta,-,9.1,8.9,8.8,8.6,8.5,9.6,9.5,9.6,9.8,10.4,10.3,9.9,8.3,7.9,7.1,8,8.3,-,-,-,-,-,-,-,-,-,-
Netherlands,-,-,-,-,-,11.9,12.1,11.9,11,10.8,10.7,10.9,10,9.8,8.9,8.3,8,8.1,8.1,7.9,8.2,8.3,8.3,8.5,8.4,8.2,8,7.9
Poland,-,-,-,-,-,6.9,7,7.2,6.9,6.3,6.2,6.2,6.2,6.2,6.3,5.9,5.5,5.7,5.9,5.6,5.9,5.5,5.5,5.8,6.1,6,4.8,-
Portugal,-,-,-,-,-,10.2,10.8,10.8,10.2,10,10,10.4,10,9.7,9.3,9.3,9.3,7.9,7.7,7.8,7.8,7.5,6.7,6.7,6.4,6.2,5.7,5.7
Romania,-,4.1,4,4.4,3.8,3.5,4.1,4.5,4.8,3.8,3.9,3.9,3.6,3.9,3.8,4.2,3.9,3.9,4.1,3.1,3.4,2.9,3,2.7,2.6,3.3,2.9,2.4
Slovakia,-,-,-,-,-,7.9,9,9.2,8,7.8,7.3,7,7.2,5.8,5.6,5.5,5.5,5.8,5.7,5.8,-,-,-,-,-,-,-,-
Slovenia,-,-,8.5,9.1,9.2,8.9,8.9,9.2,8.3,7.9,8.3,8.4,8.3,8.6,8.6,8.6,8.3,7.8,7.8,7.8,7.6,7.5,-,-,-,-,-,-
Spain,-,-,-,-,-,9.3,9.6,9.6,8.9,8.5,8.4,8.3,8.2,8.2,7.3,7.2,7.2,7.3,7.3,7.3,7.5,7.4,7.3,7.4,7.1,6.7,6.5,6.2
Sweden,-,-,-,-,-,9.5,9.5,9.9,9.2,8.9,8.9,9.1,9.1,9.3,9.2,8.9,8.2,8.2,8.1,8,8.2,8,8,8.4,8.2,8,8.2,8.2
United Kingdom,-,-,-,-,-,9.4,9.6,9.9,9,8.5,8.4,8.3,8,7.8,7.6,7.3,7,6.9,6.6,6.6,6.8,6.8,6.8,6.7,6.7,6.3,5.8,5.8
EU average,- ,6.4,7.13333333333333,7.33333333333333,7.70666666666667,8.57407407407408,8.87692307692308,9.01111111111111,8.38148148148148,8.10740740740741,8.15185185185185,8.17037037037037,8.04814814814815,7.8962962962963,7.66296296296296,7.4037037037037,7.26296296296296,7.25555555555556,7.136,7.088,7.175,7.0375,6.992,6.876,6.704,6.4375,6.22083333333334,6.115
Founding Fathers,,#DIV/0!,#DIV/0!,9.75,9.7,9.6,10.82,10.92,10.5166666666667,9.7,9.46666666666667,9.61666666666667,9.71666666666667,9.58333333333333,9.41666666666667,9.16666666666667,8.76666666666667,8.65,8.36666666666667,8.26666666666667,8.21666666666667,8.3,8.18333333333334,7.96666666666667,8.06666666666667,7.95,7.48,7.5
Central European Region,,#DIV/0!,#DIV/0!,8.5,9.1,8.5,8.31666666666667,8.55,8.75,8,7.75,7.83333333333333,7.88333333333333,7.86666666666667,7.76666666666667,7.5,7.28333333333333,7.13333333333333,7.18333333333333,7.16666666666667,7.03333333333333,7.3,7.32,7.475,7.3,6.8,6.575,5.86666666666667
